"Date","Time","Text","Retweets","Replies","Potential Impressions","Link"
"2012 Apr 30 12:00:00 AM","1:50 PM","@gregorywass @pdweinstein @derek_eder @sebastianwjames YouTube version posted to: http://blog.cookcountygov.com/opencc/live-streaming-event-changing-the-code-government-data-and-digital-entrepreneurship/","1","1","3,167","http://twitter.com/ToniPreckwinkle/status/197065536746692608"
"2012 Apr 30 12:00:00 AM","3:21 PM","Cook County Joins with Rebuilding Together Metro Chicago for National Rebuilding Day Project http://ow.ly/1jgBWy","1","1","3,511","http://twitter.com/ToniPreckwinkle/status/197088306595504128"
"2012 May 01 12:00:00 AM","6:43 AM","Watch today's Board Meeting live: http://blog.cookcountyil.gov/secretarytotheboard/ Starts at 10:00 am","0","0","2,769","http://twitter.com/ToniPreckwinkle/status/197320359454851072"
"2012 May 01 12:00:00 AM","7:15 AM","In 15 minutes: watch today's Cook County Board meeting live: http://blog.cookcountyil.gov/secretarytotheboard/ Committee meetings start at 9:30 am","0","0","2,769","http://twitter.com/ToniPreckwinkle/status/197328443787051008"
"2012 May 01 12:00:00 AM","7:31 AM","In 30 minutes: Today's Cook County Board of Commissioners meeting. Committee meetings start at 9:30. Watch live--http://blog.cookcountyil.gov/secretarytotheboard/","0","0","2,769","http://twitter.com/ToniPreckwinkle/status/197332474982973442"
"2012 May 01 12:00:00 AM","7:33 AM","Today's meeting is underway. Watch the meeting live on our website http://blog.cookcountyil.gov/secretarytotheboard/ Or on our Facebook page http://www.facebook.com/cookcountyblog/app_211398918970712","0","0","2,769","http://twitter.com/ToniPreckwinkle/status/197332918388006913"
"2012 May 01 12:00:00 AM","8:07 AM","Full report of Unincorporated Cook Task Force posted: http://www.slideshare.net/cookcountyblog/unincorporated-areas-task-force-recommendations-final","1","0","3,001","http://twitter.com/ToniPreckwinkle/status/197341403746009088"
"2012 May 01 12:00:00 AM","9:38 AM","The County Board meeting is underway.  Click http://blog.cookcountyil.gov/secretarytotheboard/ to watch @ our website.  Click http://www.facebook.com/cookcountyblog/app_211398918970712 to watch on Facebook","0","0","2,769","http://twitter.com/ToniPreckwinkle/status/197364365744287744"
"2012 May 01 12:00:00 AM","10:15 AM","Preckwinkle, Berrios Urge Passage of Exemption Fraud Legislation.  Read the details: http://blog.cookcountygov.com/2012/05/01/preckwinkle-berrios-urge-passage-of-exemption-fraud-legislation/","0","0","2,771","http://twitter.com/ToniPreckwinkle/status/197373726801661953"
"2012 May 01 12:00:00 AM","11:50 AM","The County Board meeting is still going.Click http://blog.cookcountyil.gov/secretarytotheboard/ to watch @ our website. Click http://www.facebook.com/cookcountyblog/app_211398918970712 to watch on Facebook","0","1","2,771","http://twitter.com/ToniPreckwinkle/status/197397626256228353"
"2012 May 01 12:00:00 AM","2:44 PM","LEED Silver Certification at the Provident Hospital Pharmacy  An Interview with Steve Steffens, Architect http://ow.ly/1jjjyC","1","0","3,051","http://twitter.com/ToniPreckwinkle/status/197441484843270146"
"2012 May 02 12:00:00 AM","7:40 AM","Happening Now: Preckwinkle, Maria Pappas introduce web page to let homeowners to view detail of their taxing agency. http://twitter.com/ToniPreckwinkle/status/197697169074044929/photo/1","1","0","2,836","http://twitter.com/ToniPreckwinkle/status/197697169074044929"
"2012 May 02 12:00:00 AM","7:59 AM","Watch today's Forest Preserve District Board Meeting live: http://blog.cookcountyil.gov/secretarytotheboard/","0","0","2,771","http://twitter.com/ToniPreckwinkle/status/197701969249443840"
